,gini,perm_mean,perm_std
s_hed,0.0194810034240878,-0.0008265301926997593,0.0010648089243616343
latency,0.04801378447398534,0.00032584587681794286,0.0008387582271551434
s_acl,0.03243314247140579,0.0021492100759834985,0.0005475503497479414
s_spd,0.030064703840380486,0.0035666795100487425,0.0018910012952600933
disp,0.09036112186218759,0.0035937706176432773,0.0012208237786707008
implied_spd,0.09703349246092678,0.0048488687019311305,0.0013294774990747333
acl_resid,0.1597471259411133,0.015925411615108253,0.001182492336355625
dt,0.08799751014363144,0.018872840295736014,0.0008809071110785098
hed_resid,0.10186572205378687,0.03715250072723035,0.002262376828844163
spd_resid,0.3330023933284946,0.04817218190386106,0.001273069772735837
