,auc,recall,ratio
timeDelayAttack,0.49007792990189425,0.04579278763594734,1.1182805517977417
constantPositionOffset,0.4978235383529545,0.04521276595744681,1.0164359141734558
dataReplay,0.5826833987352817,0.1878048780487805,1.3498728158883826
positionMirroring,0.6432355283182909,0.2528641571194763,1.8687193112641047
accelerationMultiplication,0.9733436733346812,0.9620689655172414,41605.5738092979
suddenStop,0.9765362092724842,0.9903788334335538,37.31085129567568
feignedBraking,0.9772853524829282,0.9822672577580748,79962.89988796477
randomSpeedOffset,0.97964033990155,0.9899510435454779,89367.16925812651
suddenConstantSpeed,0.9806487782528124,0.9901960784313726,20449.71892704994
constantSpeedOffset,0.9826070754693494,0.9979550102249489,38.685965605420726
randomPositionOffset,0.9842752660674551,0.9917672886937431,762.7478878635908
zeroSpeedReport,0.9863769535131155,0.9975034674063801,11600.137856410083
reversedHeading,0.9868900622142083,0.9979704262104958,80.73982439292942
trafficCongestionSybil,0.9874758131641339,1.0,
dosAttack,0.9879364941414893,0.9997270990630401,7929.831302638972
