,RandomForest,DecisionTree,LogisticReg
accelerationMultiplication,0.9620689655172414,0.9327586206896552,0.05517241379310345
constantPositionOffset,0.04521276595744681,0.026861702127659575,0.02553191489361702
constantSpeedOffset,0.9979550102249489,0.9795501022494888,0.03885480572597137
dataReplay,0.1878048780487805,0.16310975609756098,0.16737804878048781
dosAttack,0.9997270990630401,0.982170472118621,0.9945419812608023
feignedBraking,0.9822672577580748,0.9727675744141862,0.09183027232425586
positionMirroring,0.2528641571194763,0.19858156028368795,0.03491543917075832
randomPositionOffset,0.9917672886937431,0.964324917672887,0.8743139407244785
randomSpeedOffset,0.9899510435454779,0.9523318732285494,0.03091986601391394
reversedHeading,0.9979704262104958,0.9727457233980864,0.9721658451725138
suddenConstantSpeed,0.9901960784313726,0.9820261437908496,0.44607843137254904
suddenStop,0.9903788334335538,0.862297053517739,0.004209260372820205
timeDelayAttack,0.04579278763594734,0.03033772180881511,0.028906697195191757
trafficCongestionSybil,1.0,0.9992259601071748,0.9992259601071748
zeroSpeedReport,0.9975034674063801,0.9880721220527046,0.8957004160887656
