,gru_diff_auc,gru_diff_rec,gru_pos_auc,gru_pos_rec
accelerationMultiplication,0.9672661093418429,0.7794741306191688,0.9483009338161028,0.9100932994062765
constantPositionOffset,0.4427772368389916,0.011115369873514757,0.48364327243102845,0.13606745879647375
constantSpeedOffset,0.9968111937850949,0.9909222948438635,0.9835388678046668,0.9622367465504721
dataReplay,0.9967820587193114,0.9764542936288089,0.9896233401024028,0.984302862419206
dosAttack,0.9996334709921837,1.0,0.9996220033830471,1.0
feignedBraking,0.9917945280557362,0.9374407582938389,0.9500533601002656,0.8947867298578199
positionMirroring,0.6890434033264877,0.24143363528948406,0.7198787355404168,0.5147695943284758
randomPositionOffset,0.9999455948898188,1.0,0.9999582493013877,1.0
randomSpeedOffset,0.9993601847920268,1.0,0.9982354160982949,0.9992421371731717
reversedHeading,0.9991214046226241,0.9982676483326115,0.9981304684141745,0.9974014724989173
suddenConstantSpeed,0.9888230449307994,0.9216417910447762,0.9843801554427243,0.9757462686567164
suddenStop,0.9676161612744759,0.5970254957507082,0.9273485225943693,0.8434844192634561
timeDelayAttack,0.47529432497230806,0.012159329140461216,0.4877216174118987,0.12243186582809225
zeroSpeedReport,0.999517228313029,0.9979919678714859,0.9983443917328685,0.9971887550200803
